R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
483  5,MarJon Beauchamp,"SG,SF",MIL,26,4.7,2,1.2,0.3,0.1,0,0.5,-6.95
484  14,Joe Ingles,"SG,SF",MIN,11,5.3,0.9,0.4,1.2,0.1,0,0.5,-6.95
485  24,RayJ Dennis,,IND,6,1.9,0.8,0.5,0.2,0.3,0,0.3,-6.96
487  14,Colin Castleton,,MEM,10,4.6,1.4,0.9,0,0.1,0.1,0.1,-6.96
488,Jack McVeigh,,HOU,6,3.6,1.3,0.7,0.2,0,0.2,0.2,-6.97
489  18,Duop Reath,C,POR,25,5.3,2.3,0.9,0.2,0,0.1,0.2,-6.98
491  5,Jazian Gortman,,DAL,16,3.5,1.5,0.3,0.4,0.1,0.1,0.3,-7.03
492  47,Doug McDermott,"SG,SF",SAC,31,8.4,3.4,0.5,0.1,0.1,0,0.2,-7.04
493  11,Spencer Jones,,DEN,7,2.1,0.7,0.4,0,0.3,0,0.1,-7.06
494  22,Alex Ducas,,OKC,12,4.7,1.7,1,0.1,0.1,0,0.1,-7.07
495  1,James Johnson,PF,IND,10,3.2,0.8,0.5,0.4,0,0.2,0.4,-7.07
496  11,Yuki Kawamura,,MEM,19,3.3,1.3,0.4,0.7,0.1,0,0.2,-7.07
497  4,Trey Alexander,SG,DEN,15,4.3,0.8,0.3,0.4,0.1,0.1,0.1,-7.08
498  22,PJ Dozier,SG,MIN,9,3.9,0.8,0.6,0.6,0.1,0,0.1,-7.09
499  18,PJ Hall,C,DEN,11,2.7,1,1,0.2,0,0.1,0.1,-7.1
500  4,Sidy Cissoko,"SF,PF",WAS,17,3.2,1.3,0.6,0.4,0.1,0,0.1,-7.12
501  14,Justin Minaya,"SG,SF",POR,6,2.9,0,0.5,0.3,0.2,0,0,-7.16
506  8,Jacob Toppin,,NY,16,3,0.4,0.7,0.3,0.1,0,0.1,-7.27
508  7,Josh Christopher,"PG,SG",MIA,8,3.4,0.8,0.4,0.5,0,0.1,0.5,-7.32
510  19,Matt Ryan,SF,NY,17,3.6,1.5,0.4,0.1,0.1,0,0.2,-7.36
511  12,Ulrich Chomche,PF,TOR,6,3.4,0.8,1,0.3,0,0,0.3,-7.37
512  22,Maxwell Lewis,SF,BKN,8,3.8,0.9,0.3,0.3,0.1,0,0.3,-7.41
513  7,JD Davison,"PG,SG",BOS,5,4.7,1.2,0.4,0.2,0.2,0,1.2,-7.42
516  33,Bryce McGowens,"SG,SF",POR,8,2.6,1.6,0.1,0.1,0.1,0,0.4,-7.52
519  3,Malevy Leons,,OKC,6,3.5,0.3,0.5,0.2,0,0,0.2,-7.66
521  3,Yongxi Cui,,BKN,5,2.1,0.6,0.4,0,0,0,0,-7.71
522  8,Tristen Newton,PG,MIN,6,1.6,0.5,0.2,0.2,0,0,0.2,-7.75
524  5,Jalen Bridges,SF,PHO,5,5,0.8,0.6,0,0,0,0.8,-7.83
