R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
85  52,Darius Garland,PG,CLE,49,30.3,21.8,2.5,6.8,1.1,0.2,2.5,1.99
86  30,Austin Reaves,"PG,SG",LAL,43,34.6,18.4,4.3,6.1,1.1,0.2,2.4,1.86
87  39,Bilal Coulibaly,"SG,SF",WAS,46,33.1,12.5,5,3.5,1.3,0.8,2.1,1.86
88  7,Jaden McDaniels,"SF,PF",MIN,51,31.5,11,5.4,1.7,1.5,0.9,1.1,1.81
89  25,Kelly Oubre Jr.,"SG,SF",PHI,47,34.5,14.3,6.4,1.9,1.5,0.5,1.3,1.79
91  14,Herbert Jones,"SF,PF",NO,20,32.4,10.3,3.9,3.3,1.9,0.5,1.8,1.7
92  57,Tyler Herro,"PG,SG",MIA,48,35.5,23.9,5.6,5.5,0.7,0.1,2.6,1.68
93  29,DeMar DeRozan,"SF,PF",SAC,45,35.8,21.7,3.7,3.6,1.1,0.4,1.4,1.55
94  58,Yves Missi,C,NO,48,27.2,8.8,8,1.4,0.6,1.4,1.2,1.53
95  5,Deni Avdija,"SF,PF",POR,48,28.9,14.7,6.5,3.4,1,0.6,2.5,1.46
96  53,Zach LaVine,"SG,SF",SAC,43,34,23.7,4.7,4.5,0.9,0.2,2.8,1.39
97,Onyeka Okongwu,"PF,C",ATL,44,25,12.1,7.9,2,0.8,0.8,1,1.36
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
98  1,Tobias Harris,"SF,PF",DET,49,32,13,6,2.3,0.9,0.9,1.1,1.33
99  8,Julius Randle,"PF,C",MIN,48,32.6,18.9,7.2,4.5,0.7,0.2,2.8,1.24
100  48,Elfrid Payton,,NO,7,20.5,6.7,3.4,6.9,1.4,0.4,2.9,1.21
101  3,Andrew Wiggins,"SF,PF",MIA,43,30.1,17.6,4.6,2.3,0.9,0.8,1.3,1.16
102  1,CJ McCollum,"PG,SG",NO,38,33.4,22,3.6,3.8,0.8,0.5,1.7,1.15
103  24,Jeremy Sochan,"SF,PF",SA,29,27.2,12,7.4,2.6,0.9,0.6,1.7,1.01
104  68,Clint Capela,C,ATL,45,22.4,9.4,9,1.2,0.6,1,1,1.01
105  25,Bradley Beal,"PG,SG,SF",PHO,37,32.4,17.4,3.4,3.4,1.1,0.6,2,1
106  7,Keegan Murray,"SF,PF",SAC,47,35.1,12,7.1,1.4,0.8,0.9,0.9,0.98
107  29,Cason Wallace,"PG,SG",OKC,46,27.4,7.3,3.5,2.4,1.8,0.6,0.7,0.96
108  13,Toumani Camara,"SF,PF",POR,49,32.1,10.3,5.7,2,1.4,0.6,1.5,0.94
109  2,Robert Williams III,C,POR,18,17.7,5.7,6,1.1,0.6,1.7,0.9,0.92
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
110,Bobby Portis,"PF,C",MIL,42,24.8,13.6,8.1,2,0.7,0.6,1.2,0.91
111  69,Norman Powell,"SG,SF",LAC,41,33.2,24,3.6,2.2,1.3,0.2,2,0.9
112  7,Devin Vassell,"SG,SF",SA,33,30.2,16.2,3.6,3.1,1.2,0.5,1.6,0.84
113  12,Zach Edey,C,MEM,37,20.9,9.9,7.8,1,0.6,1.2,1.5,0.84
114  29,Ben Simmons,"PG,C",BKN,33,25,6.2,5.2,6.9,0.8,0.5,2.7,0.82
115  64,Jusuf Nurkic,C,PHO,25,23.7,8.6,9.2,1.9,0.9,0.6,2.3,0.69
116  41,Michael Porter Jr.,"SF,PF",DEN,51,33.3,18.7,6.5,2.2,0.6,0.5,1.3,0.64
117  130,Isaiah Jackson,"PF,C",IND,5,16.8,7,5.6,1,0.6,1.6,1,0.64
